State/UT & Code,Constituency Name & Code,Code Name,Category,Men,Women,Third Gender,Total
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Total Valid Votes Polled,NA,NA,NA,1312583
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Test Votes Polled On Evm,NA,NA,NA,0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Votes Polled For 'Nota'(Including Postal),NA,NA,NA,17220
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Tendered Votes,NA,NA,NA,31
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Polling Station - Number,NA,NA,NA,1640
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Polling Station - Average Electors Per Polling,NA,NA,NA,997
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Polling Station - Dates(S) Of Re-Poll If Any,NA,NA,NA,NA
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,NA,NA,NA,NA
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Dates - Polling Date - 13/05/2024,NA,NA,NA,NA
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Dates - Counting Date - 04/06/2024,NA,NA,NA,NA
Andhra Pradesh-S01,Kakinada-GEN,S01_6,"Dates - Declaration Of
Result Date - 04/06/2024",NA,NA,NA,NA
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,NA,NA,NA,NA
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Result - Candidate -Winner: - Gumma Thanuja Rani,NA,NA,NA,NA
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Result - Winner - Votes ,NA,NA,NA,477005
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Result - Party Runner-Up: - Bharatiya Janata Party,NA,NA,NA,NA
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Result - Candidate Runner-Up: - Kothapalli Geetha,NA,NA,NA,500208
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Result - Candidate Votes ,NA,NA,NA,NA
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Result - Votes- Margin,NA,NA,NA,229491
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Candidates - Nominated,20,1,0,21
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Candidates - Nomination Rejected,5,0,0,5
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Candidates - Withdrawn,0,1,0,1
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Candidates - Contested,15,0,0,15
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Candidates - Forfeited Deposit,13,0,0,13
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Electors - General,758883,772229,21,1531133
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Electors - Overseas,221,56,0,277
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Electors - Service,794,25,0,819
Andhra Pradesh-S01,Amalapuram-SC,S01_7,Electors - Total,759898,772310,21,1532229
